Number,title,artist,altered genre,top genre,artist birth year,artist age,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,decade
11,Last Christmas,Wham!,rock,dance rock,1963,21,1984,108,58,74,-9,18,94,265,19,3,78,1980
12,Uptown Girl,Billy Joel,rock,album rock,1949,34,1983,129,94,70,-3,60,79,198,7,5,77,1980
13,Radio Ga Ga - 2011 Mix,Queen,rock,glam rock,1948,36,1984,112,50,74,-8,19,66,348,18,4,76,1980
14,Heaven,Bryan Adams,rock,album rock,1959,25,1984,140,59,38,-7,12,34,243,5,3,76,1980
15,9 to 5,Dolly Parton,pop,classic country pop,1946,34,1980,105,78,55,-6,63,81,162,42,5,76,1980
16,Eye of the Tiger,Survivor,rock,album rock,1952.5,32.5,1985,109,60,82,-9,9,55,246,13,3,76,1980
17,Right Here Waiting,Richard Marx,folk,mellow gold,1963,26,1989,178,25,40,-14,10,13,264,80,3,75,1980
18,Listen to Your Heart,Roxette,pop,europop,1958.5,29.5,1988,86,58,54,-5,11,34,328,11,3,75,1980
19,Born in the U.S.A.,Bruce Springsteen,rock,classic rock,1949,35,1984,122,95,40,-6,10,58,279,0,6,75,1980
20,Pour Some Sugar On Me - Remastered 2017,Def Leppard,rock,album rock,1959.5,27.5,1987,85,95,27,-5,28,57,267,0,10,74,1980
21,Against All Odds (Take a Look at Me Now) ,Phil Collins,folk,mellow gold,1951,33,1984,116,50,58,-7,13,11,206,20,3,74,1980
22,Maniac,Michael Sembello,dance pop,hi-nrg,1954,29,1983,159,53,62,-12,4,84,245,9,7,73,1980
23,Hungry Eyes,Eric Carmen,adult standards,adult standards,1949,48,1997,110,55,71,-9,12,55,251,1,3,73,1980
24,Panama - 2015 Remaster,Van Halen,rock,album rock,1955,29,1984,141,98,53,-5,7,46,210,0,11,73,1980
25,Forever Young,Alphaville,rock,dance rock,1954,30,1984,137,48,49,-9,24,33,227,42,3,73,1980
26,I Love Rock 'N Roll,Joan Jett & The Blackhearts,punk,glam punk,1958,23,1981,94,72,54,-5,66,90,175,33,4,72,1980
27,Sacrifice,Elton John,rock,glam rock,1947,42,1989,113,42,76,-13,4,49,304,2,3,72,1980
28,Material Girl,Madonna,dance pop,dance pop,1958,26,1984,137,88,74,-3,10,98,240,33,3,72,1980
